rec_id,script_files_ratio,css_files_ratio,image_files_ratio,anchor_files_ratio,empty_anchor_ratio,null_hyperlink_ratio,total_hyperlinks,internal_hyperlink_ratio,external_hyperlink_ratio,external_to_internal_ratio,total_forms,suspicious_form_ratio,PctExtHyperlinks,PctExtResourceUrls,ExtFavicon,InsecureForms,RelativeFormAction,ExtFormAction,AbnormalFormAction,PctNullSelfRedirectHyperlinks,FrequentDomainNameMismatch,FakeLinkInStatusBar,RightClickDisabled,PopUpWindow,SubmitInfoToEmail,IframeOrFrame,MissingTitle,ImagesOnlyInForm,ExtMetaScriptLinkRT,phishing
1,0.0,0.0,0.5714285714285714,0.14285714285714285,0.0,0.2857142857142857,7,0.875,0.0,0.0,1,1.0,1.0,1.0,0,1,0,1,0,1.0,0,0,0,0,0,0,0,0,0.3333333333333333,1
2,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.5,0.0,0.14285714285714285,14,0.8125,0.0625,0.07692307692307693,2,1.0,1.0,1.0,0,1,0,1,0,0.0,0,0,0,0,0,0,0,0,0.3333333333333333,0
3,0.03125,0.010416666666666666,0.052083333333333336,0.8020833333333334,0.0,0.0625,96,0.8877551020408163,0.061224489795918366,0.06896551724137931,2,0.0,1.0,0.875,0,0,0,0,0,0.012987012987012988,1,0,0,0,0,0,0,0,0.09090909090909091,0
4,0.010582010582010581,0.005291005291005291,0.047619047619047616,0.7936507936507936,0.0,0.07407407407407407,189,0.7789473684210526,0.14736842105263157,0.1891891891891892,1,1.0,0.5466666666666666,0.18181818181818182,0,1,0,1,0,0.0,0,0,0,0,0,1,0,0,0.28846153846153844,0
5,0.10476190476190476,0.12380952380952381,0.11428571428571428,0.5523809523809524,0.0,0.12380952380952381,105,0.6509433962264151,0.29245283018867924,0.4492753623188406,1,1.0,0.9482758620689655,1.0,0,1,0,1,0,0.1206896551724138,1,0,0,0,0,1,0,0,0.7435897435897436,0
6,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.0,0
7,0.06666666666666667,0.0,0.06666666666666667,0.6666666666666666,0.0,0.06666666666666667,15,0.3333333333333333,0.5555555555555556,1.6666666666666667,3,1.0,1.0,1.0,0,1,0,1,1,0.0,1,0,0,0,0,1,0,0,0.375,1
8,0.16756756756756758,0.11351351351351352,0.021621621621621623,0.4648648648648649,0.0,0.21081081081081082,185,0.7947368421052632,0.07368421052631578,0.09271523178807947,5,0.4,0.23255813953488372,0.17142857142857143,0,1,0,1,1,0.16279069767441862,0,0,0,0,0,0,0,0,0.06870229007633588,0
9,0.07246376811594203,0.0,0.07246376811594203,0.34782608695652173,0.014492753623188406,0.3333333333333333,69,0.2608695652173913,0.4057971014492754,1.5555555555555556,0,0.0,1.0,1.0,0,0,0,0,0,0.04,1,0,0,0,1,1,0,0,0.3137254901960784,0
10,0.08333333333333333,0.020833333333333332,0.020833333333333332,0.2708333333333333,0.0,0.625,48,0.38461538461538464,0.27692307692307694,0.72,17,1.0,1.0,1.0,0,1,0,0,1,0.6153846153846154,1,0,0,0,0,0,0,1,0.3157894736842105,0
