rec_id,script_files_ratio,css_files_ratio,image_files_ratio,anchor_files_ratio,empty_anchor_ratio,null_hyperlink_ratio,total_hyperlinks,internal_hyperlink_ratio,external_hyperlink_ratio,external_to_internal_ratio,total_forms,suspicious_form_ratio,PctExtHyperlinks,PctExtResourceUrls,ExtFavicon,InsecureForms,RelativeFormAction,ExtFormAction,AbnormalFormAction,PctNullSelfRedirectHyperlinks,FrequentDomainNameMismatch,FakeLinkInStatusBar,RightClickDisabled,PopUpWindow,SubmitInfoToEmail,IframeOrFrame,MissingTitle,ImagesOnlyInForm,ExtMetaScriptLinkRT,phishing
10001,0.0,0.0,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,0,0.0,0
10002,0.35714285714285715,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.0,0.07142857142857142,14,0.7857142857142857,0.14285714285714285,0.18181818181818182,0,0.0,1.0,1.0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.5714285714285714,1
10003,0.3,0.1,0.3,0.1,0.0,0.2,10,0.2727272727272727,0.5454545454545454,2.0,1,1.0,1.0,0.8333333333333334,0,1,0,1,0,0.0,1,0,0,0,0,0,0,0,0.7142857142857143,1
10004,0.03636363636363636,0.007575757575757576,0.07727272727272727,0.7545454545454545,0.0015151515151515152,0.16818181818181818,660,0.8144796380090498,0.05429864253393665,0.06666666666666667,3,1.0,0.9377510040160643,1.0,0,1,0,1,0,0.07214428857715431,0,0,0,0,0,1,0,0,0.4,0
10005,0.022222222222222223,0.007407407407407408,0.02962962962962963,0.8,0.0,0.15555555555555556,135,0.6506849315068494,0.23972602739726026,0.3684210526315789,11,0.9090909090909091,1.0,0.5714285714285714,0,1,0,1,0,0.046296296296296294,1,0,0,0,0,0,0,0,0.1282051282051282,0
10006,0.013888888888888888,0.004629629629629629,0.009259259259259259,0.9212962962962963,0.018518518518518517,0.06018518518518518,216,0.3686635944700461,0.5898617511520737,1.6,1,1.0,0.9899497487437185,1.0,0,0,0,1,0,0.03940886699507389,1,0,0,0,0,0,0,0,0.3125,0
10007,0.0,0.06666666666666667,0.06666666666666667,0.4666666666666667,0.0,0.7333333333333333,15,0.5263157894736842,0.05263157894736842,0.1,4,1.0,1.0,1.0,0,1,0,1,1,0.8571428571428571,1,0,0,0,0,0,0,0,0.25,1
10008,0.13382899628252787,0.06691449814126393,0.10037174721189591,0.44609665427509293,0.007434944237918215,0.13011152416356878,269,0.7142857142857143,0.16117216117216118,0.22564102564102564,4,0.5,0.19166666666666668,0.047619047619047616,0,1,0,0,1,0.040983606557377046,0,0,1,0,0,1,0,0,0.1724137931034483,0
10009,0.0423728813559322,0.01694915254237288,0.03389830508474576,0.7966101694915254,0.0,0.11864406779661017,118,0.8333333333333334,0.075,0.09,2,1.0,0.9680851063829787,1.0,0,0,0,1,0,0.031914893617021274,0,0,0,0,1,0,0,0,0.21621621621621623,0
10010,0.034722222222222224,0.013888888888888888,0.10416666666666667,0.6736111111111112,0.041666666666666664,0.1597222222222222,144,0.4583333333333333,0.3819444444444444,0.8333333333333334,0,0.0,1.0,1.0,0,0,0,0,0,0.05825242718446602,1,0,0,0,0,0,0,0,0.1590909090909091,0
10011,0.014388489208633094,0.02877697841726619,0.1510791366906475,0.7913669064748201,0.0,0.014388489208633094,139,0.9214285714285714,0.06428571428571428,0.06976744186046512,1,1.0,1.0,1.0,0,1,0,1,0,0.0,1,0,0,0,0,0,0,0,0.6,0
10012,0.25,0.21428571428571427,0.25,0.07142857142857142,0.0,0.2857142857142857,28,0.7586206896551724,0.0,0.0,1,1.0,1.0,1.0,0,1,0,0,1,1.0,0,0,1,0,0,0,0,0,0.6190476190476191,1
10013,0.17647058823529413,0.17647058823529413,0.0,0.5294117647058824,0.0,0.47058823529411764,17,0.9444444444444444,0.0,0.0,1,1.0,1.0,1.0,0,1,0,0,1,0.8888888888888888,0,0,0,0,0,0,0,0,0.8,1
10014,0.18181818181818182,0.2727272727272727,0.09090909090909091,0.36363636363636365,0.0,0.36363636363636365,11,0.5,0.08333333333333333,0.16666666666666666,1,1.0,0.25,1.0,0,1,0,0,1,0.75,0,0,0,0,0,0,0,0,0.625,1
10015,0.13043478260869565,0.010869565217391304,0.08695652173913043,0.5869565217391305,0.05434782608695652,0.1956521739130435,92,0.5161290322580645,0.3333333333333333,0.6458333333333334,1,1.0,1.0,1.0,0,1,0,1,0,0.13559322033898305,1,0,0,0,0,0,0,0,0.47058823529411764,0
10016,0.16371681415929204,0.022123893805309734,0.048672566371681415,0.6858407079646017,0.0,0.0752212389380531,226,0.7973568281938326,0.14096916299559473,0.17679558011049723,1,1.0,0.9870967741935484,1.0,0,1,0,0,1,0.0064516129032258064,1,0,0,0,0,1,0,0,0.696969696969697,0
10017,0.19230769230769232,0.07692307692307693,0.038461538461538464,0.3076923076923077,0.07692307692307693,0.19230769230769232,26,0.39285714285714285,0.42857142857142855,1.0909090909090908,2,0.0,1.0,1.0,0,0,0,0,0,0.2,1,0,0,1,0,0,0,0,0.75,1
10018,0.3409090909090909,0.09090909090909091,0.0,0.1590909090909091,0.0,0.38636363636363635,44,0.4666666666666667,0.15555555555555556,0.3333333333333333,1,1.0,1.0,1.0,0,1,0,1,0,0.0,1,0,1,1,0,1,0,0,0.43478260869565216,1
10019,0.07228915662650602,0.024096385542168676,0.27710843373493976,0.42168674698795183,0.0,0.10843373493975904,83,0.8571428571428571,0.047619047619047616,0.05555555555555555,1,1.0,0.9142857142857143,1.0,0,1,0,1,0,0.02857142857142857,1,0,0,0,1,1,0,0,0.53125,0
10020,0.007633587786259542,0.003816793893129771,0.15648854961832062,0.7595419847328244,0.0,0.015267175572519083,262,0.5584905660377358,0.4226415094339623,0.7567567567567568,3,1.0,0.9296482412060302,1.0,0,1,0,1,1,0.0,1,0,0,0,1,1,0,0,0.4146341463414634,0
