rec_id,script_files_ratio,css_files_ratio,image_files_ratio,anchor_files_ratio,empty_anchor_ratio,null_hyperlink_ratio,total_hyperlinks,internal_hyperlink_ratio,external_hyperlink_ratio,external_to_internal_ratio,total_forms,suspicious_form_ratio,PctExtHyperlinks,PctExtResourceUrls,ExtFavicon,InsecureForms,RelativeFormAction,ExtFormAction,AbnormalFormAction,PctNullSelfRedirectHyperlinks,FrequentDomainNameMismatch,FakeLinkInStatusBar,RightClickDisabled,PopUpWindow,SubmitInfoToEmail,IframeOrFrame,MissingTitle,ImagesOnlyInForm,ExtMetaScriptLinkRT,phishing
20001,0.1,0.15,0.15,0.3,0.0,0.05,20,0.25,0.7,2.8,0,0.0,1.0,1.0,0,0,0,0,0,0.0,1,0,0,0,0,0,0,0,0.37037037037037035,0
20002,0.0136986301369863,0.0136986301369863,0.0547945205479452,0.7945205479452054,0.0136986301369863,0.0273972602739726,73,0.8783783783783784,0.0945945945945946,0.1076923076923077,1,0.0,0.15517241379310345,0.8,0,0,0,0,0,0.01694915254237288,0,0,0,0,0,0,0,0,0.07692307692307693,0
20003,0.0945273631840796,0.06467661691542288,0.05472636815920398,0.7014925373134329,0.0,0.05970149253731343,201,0.8514851485148515,0.0891089108910891,0.10465116279069768,1,1.0,0.7943262411347518,1.0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0.5573770491803278,0
20004,0.0,0.038461538461538464,0.0,0.8846153846153846,0.0,0.07692307692307693,26,0.11538461538461539,0.8461538461538461,7.333333333333333,0,0.0,1.0,0.0,0,0,0,0,0,0.043478260869565216,1,0,0,0,0,0,0,0,0.14285714285714285,1
20005,0.0,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,3,0.3333333333333333,0.3333333333333333,1.0,0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0.5,1
20006,0.0,0.023809523809523808,0.09523809523809523,0.0,0.8571428571428571,0.8571428571428571,42,0.1276595744680851,0.02127659574468085,0.16666666666666666,5,1.0,0.0,1.0,0,1,0,1,1,1.0,0,0,0,0,0,0,0,0,0.2857142857142857,1
20007,0.07186858316221766,0.045174537987679675,0.043121149897330596,0.7515400410677618,0.0,0.039014373716632446,487,0.7099391480730223,0.24949290060851928,0.3514285714285714,6,0.16666666666666666,0.25136612021857924,0.3392857142857143,0,1,0,0,1,0.01366120218579235,0,0,0,0,0,1,0,0,0.13333333333333333,0
20008,0.04954954954954955,0.04504504504504504,0.0945945945945946,0.7882882882882883,0.0,0.02252252252252252,222,0.9555555555555556,0.022222222222222223,0.023255813953488372,3,0.3333333333333333,0.30857142857142855,0.8125,0,1,0,1,0,0.022857142857142857,0,0,0,0,0,0,0,0,0.23333333333333334,1
20009,0.018867924528301886,0.0,0.20754716981132076,0.5471698113207547,0.16981132075471697,0.18867924528301888,53,0.7735849056603774,0.03773584905660377,0.04878048780487805,0,0.0,1.0,1.0,0,0,0,0,0,0.23684210526315788,1,0,0,0,0,0,0,0,0.75,0
20010,0.0,0.0,0.0,0.0,0.0,1.0,4,0.2,0.0,0.0,1,1.0,0.0,0.0,0,1,0,1,0,0.0,0,0,0,0,0,0,0,0,0.0,0
20011,0.041666666666666664,0.041666666666666664,0.08333333333333333,0.625,0.0,0.16666666666666666,24,0.16,0.64,4.0,1,1.0,1.0,1.0,0,1,0,0,1,0.0,1,0,0,0,0,0,0,0,0.25,1
20012,0.19607843137254902,0.10784313725490197,0.11764705882352941,0.5392156862745098,0.0,0.049019607843137254,102,0.7450980392156863,0.21568627450980393,0.2894736842105263,0,0.0,0.9818181818181818,1.0,0,0,0,0,0,0.0,1,0,0,0,0,1,0,0,0.6595744680851063,0
20013,0.12260536398467432,0.06896551724137931,0.022988505747126436,0.41762452107279696,0.0,0.32950191570881227,261,0.4444444444444444,0.22988505747126436,0.5172413793103449,0,0.0,0.9908256880733946,1.0,0,0,0,0,0,0.009174311926605505,1,0,0,0,1,1,0,0,0.327683615819209,0
20014,0.00547645125958379,0.004381161007667032,0.007667031763417305,0.963855421686747,0.001095290251916758,0.05585980284775466,913,0.8871851040525739,0.09967141292442497,0.11234567901234568,0,0.0,0.6863636363636364,1.0,0,0,0,0,0,0.04540295119182747,0,0,0,0,0,1,0,0,0.25,0
